"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"642",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"634",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"646",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"619",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"649",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"614",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"631",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"629",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"632",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"616",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"626",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"636",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"621",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"697",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"683",8,10,12,14,25,27,29,31,33,35,38,41,45,54,61,69
"628",8,10,12,14,25,27,29,31,33,35,38,41,45,54,61,69
"635",8,10,12,14,25,27,29,31,33,35,38,41,45,54,61,69
"669",8,10,12,14,25,27,29,31,33,35,38,41,45,54,61,69
"609",8,10,12,14,25,27,29,31,33,35,38,41,45,54,61,69
"659",6,8,10,12,23,25,27,29,31,33,36,39,43,52,59,67
"644",6,8,10,12,23,25,27,29,31,33,36,39,43,52,59,67
"622",6,8,10,12,23,25,27,29,31,33,36,39,43,52,59,67
"637",6,8,10,12,23,25,27,29,31,33,36,39,43,52,59,67
"648",6,8,10,12,23,25,27,29,31,33,36,39,43,52,59,67
"633",6,8,10,12,23,25,27,29,31,33,36,39,43,52,59,67
"639",6,8,10,12,23,25,27,29,31,33,36,39,43,52,59,67
"627",6,8,10,12,23,25,27,29,31,33,36,39,43,52,59,67
"691",6,8,10,12,23,25,27,29,31,33,36,39,43,52,59,67
"641",6,8,10,12,23,25,27,29,31,33,36,39,43,52,59,67
"708",6,8,10,12,23,25,27,29,31,33,36,39,43,52,59,67
"643",6,8,10,12,23,25,27,29,31,33,36,39,43,52,59,67
"625",5,7,9,11,22,24,26,28,30,32,35,38,42,51,58,66
"653",5,7,9,11,22,24,26,28,30,32,35,38,42,51,58,66
"686",5,7,9,11,22,24,26,28,30,32,35,38,42,51,58,66
"665",5,7,9,11,22,24,26,28,30,32,35,38,42,51,58,66
"684",5,7,9,11,22,24,26,28,30,32,35,38,42,51,58,66
"674",5,7,9,11,22,24,26,28,30,32,35,38,42,51,58,66
"680",5,7,9,11,22,24,26,28,30,32,35,38,42,51,58,66
"604",4,6,8,10,21,23,25,27,29,31,34,37,41,50,57,65
"673",4,6,8,10,21,23,25,27,29,31,34,37,41,50,57,65
"662",4,6,8,10,21,23,25,27,29,31,34,37,41,50,57,65
"688",4,6,8,10,21,23,25,27,29,31,34,37,41,50,57,65
"608",4,6,8,10,21,23,25,27,29,31,34,37,41,50,57,65
"681",4,6,8,10,21,23,25,27,29,31,34,37,41,50,57,65
"647",4,6,8,10,21,23,25,27,29,31,34,37,41,50,57,65
"709",4,6,8,10,21,23,25,27,29,31,34,37,41,50,57,65
"650",4,6,8,10,21,23,25,27,29,31,34,37,41,50,57,65
"651",4,6,8,10,21,23,25,27,29,31,34,37,41,50,57,65
"638",3,5,7,9,20,22,24,26,28,30,33,36,40,49,56,64
"666",3,5,7,9,20,22,24,26,28,30,33,36,40,49,56,64
"704",3,5,7,9,20,22,24,26,28,30,33,36,40,49,56,64
"605",3,5,7,9,20,22,24,26,28,30,33,36,40,49,56,64
"613",3,5,7,9,20,22,24,26,28,30,33,36,40,49,56,64
"640",3,5,7,9,20,22,24,26,28,30,33,36,40,49,56,64
"617",3,5,7,9,20,22,24,26,28,30,33,36,40,49,56,64
"692",3,5,7,9,20,22,24,26,28,30,33,36,40,49,56,64
