"","xihao","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"238",257,0,0.1,0.2,0.2,0.3,0.3,0.4,0.5,0.6,0.8,1.2,1.5,2,3.8,5.4,8.6
"241",261,0,0,0,0,0.4,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,1.2,1.8,2.8
"242",263,0,0,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.5,0.7,0.9,1.9,2.8,3.6
"244",265,0,0,0,0,0.2,0.2,0.1,0.2,0.2,0,0.3,0.3,0.5,0.9,1.6,2.6
"245",266,0,0,0,0,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.9,2.3,3.6
"246",267,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.7,1.1,2,3.7
"247",268,0,0,0,0,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.5,1.2,1.9,2.4
"249",270,0,0,0,0,0.4,0.2,0.3,0.3,0.2,0.5,0.7,0.7,1.1,2.2,3.5,6.3
"250",271,0,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.7,0.8,1.1,1.6,3.1,4.9,7
"252",273,0,0,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.6,1.9,2.8,3.8
"253",274,0,0,0.1,0.1,0.2,0.2,0.1,0.2,0.3,0.4,0.4,0.8,1,2.4,3.3,4.5
"254",275,0,0,0,0.1,0.1,0.2,0.1,0.2,0.2,0.3,0.3,0.5,0.6,1.9,2.3,3.5
"256",280,0,0.1,0.2,0.2,0.3,0.3,0.3,0.5,0.6,0.7,0.7,1.1,1.4,3.4,5.6,9
"257",281,0,0,0,0.1,0.2,0.2,0.1,0.2,0.2,0.3,0.2,0.3,0.3,1.2,2.2,3.5
"259",283,0,0,0,0.1,0.2,0.2,0.3,0.4,0.4,0.5,0.6,0.7,1,2.1,3.2,3.5
"260",284,0,0,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.7,0.9,1.7,2.7,3.9
"261",285,0,0,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.9,1.7,2.5
"263",288,0,0,0,0,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,1.5,2.6,4.4
"264",289,0,0,0,0.1,0.3,0.3,0.2,0.3,0.3,0.3,0.4,0.5,0.6,1.3,3.6,3.9
"265",290,0,0,0,0,0.2,0.2,0.1,0.2,0.2,0.3,0.3,0.3,0.5,0.7,1.2,1.8
"268",294,0,0,0.1,0.1,0.3,0.2,0.3,0.3,0.4,0.4,0.6,0.9,1.2,2.6,3.6,5.3
"269",295,0,0,0,0.1,0.3,0.3,0.3,0.5,0.5,0.6,0.7,0.8,1.3,2.5,3.7,6.6
"271",298,0,0,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.5,0.9,1.2,1.6
"272",299,0,0,0,0,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.4,0.8,1.2,1.5
"273",301,0,0.1,0.2,0.2,0.4,0.4,0.4,0.6,0.7,0.8,0.9,1.4,1.7,4,6,8
"275",304,0,0,0,0.1,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.7,1.7,2.7,4.1
